COMMUNE_NOM,COLL_SIRET,ANIMATIONS,DATE DEBUT,DATE FIN,ORGANISATEUR,LIEU 1,LIEU 2,LIEU 3
Antibes,21060004500012,2ème Prix Bohème Assurances,2019-06-01,2019-06-01,Amicale Bouliste du Châtaignier,Clos du Châtaignier,,
Antibes,21060004500012,Finale Départementale Éveil Athlé,2019-06-01,2019-06-01,ERAA,Stade du Fort Carré,,
Antibes,21060004500012,Trophée Souvenir Céline PALMERINI,2019-06-02,2019-06-02,Amicale Bouliste du Châtaignier,Clos du Châtaignier,,
Antibes,21060004500012,3ème GP d'Antibes/Gréolières,2019-06-02,2019-06-02,Olympique Cyclo Club d'Antibes,Gréolières,,
Antibes,21060004500012,7ème prix Assainissement services,2019-06-03,2019-06-03,Amicale Bouliste du Châtaignier,Clos du Châtaignier,,
Antibes,21060004500012,14ème Souvenir M. Pisano et A. Palmerini,2019-06-04,2019-06-04,Amicale Bouliste du Châtaignier,Clos du Châtaignier,,
Antibes,21060004500012,15ème Prix Eric PAUGET,2019-06-05,2019-06-05,Amicale Bouliste du Châtaignier,Clos du Châtaignier,,
Antibes,21060004500012,Championnats Régionaux de tir,2019-06-07,2019-06-09,Tir Sportif d'Antibes,Stand de tir des 3 moulins ,,
Antibes,21060004500012,25ème Tournoi Nicolas Cagnasso,2019-06-08,2019-06-08,AMADEUS,Stade du Fort Carré,,
Antibes,21060004500012,Champ Région 25m et 50m,2019-06-08,2019-06-09,Tir Sportif d'Antibes,ZI des 3 moulins,,
Antibes,21060004500012,Tournoi Daniel Charles,2019-06-08,2019-06-09,OAJLP Basket,Stade Foch,,
Antibes,21060004500012,Tournoi International Jeunes,2019-06-08,2019-06-10,AS Fontonne Football,Stade Docteur Léger,,
Antibes,21060004500012,Répétition Gala de Danse ,2019-06-09,2019-06-09,Pro Danse,Salle Saint Claude,,
Antibes,21060004500012,Open Water Swim 2019,2019-06-09,2019-06-09,Maxiplouf,Plage de la Gravette,,
Antibes,21060004500012,Tournoi 6ème Rugby ,2019-06-11,2019-06-11,Collège Roustan,Terrain synthétique du Fort Carré,,
Antibes,21060004500012,Tournoi 5ème Ultimate,2019-06-12,2019-06-12,Collège Roustan,Plateau Foch,,
Antibes,21060004500012,Nocturne ÉTÉ,2019-06-14,2019-08-30,AS Fontonne Boule,Clos Borriglion,,
Antibes,21060004500012,ISTA CUP,2019-06-15,2019-06-15,ISTA CIS,Stade du Fort Carré,,
Antibes,21060004500012,Tournoi Jeunes,2019-06-15,2019-06-15,OAJLP Volley-ball,Gymnase Bertone,,
Antibes,21060004500012,Championnat National de basket FCD,2019-06-15,2019-06-15,CSGA,Stade Foch,,
Antibes,21060004500012,Répétition Gala de Danse ,2019-06-16,2019-06-16,Pro danse,Salle Saint Claude,,
Antibes,21060004500012,27ème Trophée Hoang Nam,2019-06-16,2019-06-16,Ecole Hoang Nam,Salle Saint Claude,,
Antibes,21060004500012,Tournoi ASCHA,2019-06-16,2019-06-16,ASC Hospitaliers d'Antibes,Stade Docteur Léger T2,,
Antibes,21060004500012,Tournoi Jeunes u8,2019-06-16,2019-06-16,AS Fontonne Football,Terrain n°1 du Stade Docteur Léger,,
Antibes,21060004500012,Olympiade des 4ème,2019-06-17,2019-06-17,Collège Roustan,Plateau Foch,,
Antibes,21060004500012,Yoga au Lever du Soleil,2019-06-21,2019-06-21,Institut Français de Yoga Provence Alpes Côte d'Azur,Plage de la Salis ,,
Antibes,21060004500012,Festival de Capoeira de la Côte d'azur,2019-06-21,2019-06-22,Arte Brasil,Stade Foch,,
Antibes,21060004500012,L'eau pour rayonner,2019-06-22,2019-06-22,Direction des Sports de la Ville d'Antibes,Stade Nautique d'Antibes,,
