animations,date_debut,date_fin,organisateur,lieu_1,yd,md,dd,yf,mf,df,yearmonth,duration
nuit du hand,2022-05-14,2022-05-14,oajlp handball,salle saint claude,2022,5,14,2022,5,14,2022-5,0
départemental 25/50m,2022-05-14,2022-05-15,tir sportif d'antibes,zi des 3 moulins,2022,5,14,2022,5,15,2022-5,1
24h de nage avec palme,2022-05-14,2022-05-15,spondyle club d'antibes,stade nautique d'antibes,2022,5,14,2022,5,15,2022-5,1
la boule chantante,2022-05-14,2022-05-14,les amis de la pinède,petite pinède,2022,5,14,2022,5,14,2022-5,0
concours d'agility,2022-05-15,2022-05-15,amicale du chien de travail d'antibes,zi des 3 moulins,2022,5,15,2022,5,15,2022-5,0
coupe de france de beach volley,2022-05-15,2022-05-15,oajlp volley-ball,terrains de beach du fort carré,2022,5,15,2022,5,15,2022-5,0
jeux de sophia - tir à l'arc,2022-05-16,2022-05-17,sophia club entreprises,stand de tir des 3 moulins,2022,5,16,2022,5,17,2022-5,1
57ème rallye d'antibes et super spéciale,2022-05-19,2022-05-22,association sportive automobile;rallye antibes association,pré des pêcheurs,2022,5,19,2022,5,22,2022-5,3
jeux de sophia - tir à l'arc,2022-05-20,2022-05-20,sophia club entreprises,stand de tir des 3 moulins,2022,5,20,2022,5,20,2022-5,0
59ème challenge denape,2022-05-21,2022-05-22,compagnie d'arc d'antibes,stand de tir des 3 moulins,2022,5,21,2022,5,22,2022-5,1
tournoi de footvolley,2022-05-22,2022-05-22,association footvolley antibes,terrains de beach du fort carré,2022,5,22,2022,5,22,2022-5,0
jeux de sophia - tir à l'arc,2022-05-23,2022-05-24,sophia club entreprises,stand de tir des 3 moulins,2022,5,23,2022,5,24,2022-5,1
pro b - playoffs accession 2021-2022,2022-05-23,2022-05-23,sharks d'antibes,azurarena antibes,2022,5,23,2022,5,23,2022-5,0
raid unss antibes 2022,2022-05-25,2022-05-25,unss nice,plage du ponteil,2022,5,25,2022,5,25,2022-5,0
top 12 de gym 1/2 finale,2022-05-26,2022-05-26,oajlp gymnastique,salle pierre brochard,2022,5,26,2022,5,26,2022-5,0
tournoi football n°2 jsjlp,2022-05-26,2022-05-26,jeunesse sportive de juan-les-pins,stade gilbert auvergne,2022,5,26,2022,5,26,2022-5,0
tournoi international des vétérans,2022-05-26,2022-05-28,as fontonne football,stade docteur léger,2022,5,26,2022,5,28,2022-5,2
concours d'agility,2022-05-28,2022-05-29,amicale du chien de travail d'antibes,zi des 3 moulins,2022,5,28,2022,5,29,2022-5,1
tournoi football n°3 jsjlp,2022-05-29,2022-05-29,jeunesse sportive de juan-les-pins,stade gilbert auvergne,2022,5,29,2022,5,29,2022-5,0
pro b - playoffs accession 2021-2022,2022-05-29,2022-05-29,sharks d'antibes,azurarena antibes,2022,5,29,2022,5,29,2022-5,0
jeux de sophia - tir à l'arc,2022-05-30,2022-05-31,sophia club entreprises,stand de tir des 3 moulins,2022,5,30,2022,5,31,2022-5,1
jeux de sophia - tir à l'arc,2022-06-02,2022-06-02,sophia club entreprises,stand de tir des 3 moulins,2022,6,2,2022,6,2,2022-6,0
sport- co challenge- handball,2022-06-02,2022-06-02,riviera tag rugby,salle saint claude,2022,6,2,2022,6,2,2022-6,0
jeux de sophia - tir à l'arc,2022-06-03,2022-06-03,sophia club entreprises,stand de tir des 3 moulins,2022,6,3,2022,6,3,2022-6,0
tournoi international u15,2022-06-03,2022-06-05,oajlp basket,stade foch,2022,6,3,2022,6,5,2022-6,2
13ème edition handiboise,2022-06-04,2022-06-04,société des régates d'antibes,antibes,2022,6,4,2022,6,4,2022-6,0
concours débutants de tir à l'arc,2022-06-04,2022-06-04,compagnie d'arc d'antibes,stand de tir des 3 moulins,2022,6,4,2022,6,4,2022-6,0
pro b - playoffs accession 2021-2022,2022-06-04,2022-06-04,sharks d'antibes,azurarena antibes,2022,6,4,2022,6,4,2022-6,0
tournoi international jeunes,2022-06-04,2022-06-06,as fontonne football,stade docteur léger,2022,6,4,2022,6,6,2022-6,2
semaine bouliste du chataignier,2022-06-04,2022-06-07,amicale bouliste du châtaignier,clos du châtaignier,2022,6,4,2022,6,7,2022-6,3
jeux de sophia - tir à l'arc,2022-06-07,2022-06-07,sophia club entreprises,stand de tir des 3 moulins,2022,6,7,2022,6,7,2022-6,0
jeux de sophia - tir à l'arc,2022-06-09,2022-06-09,sophia club entreprises,stand de tir des 3 moulins,2022,6,9,2022,6,9,2022-6,0
sport- co challenge- volleyball,2022-06-09,2022-06-09,riviera tag rugby,salle bertone,2022,6,9,2022,6,9,2022-6,0
cross des 3ème du collège roustan,2022-06-10,2022-06-10,collège roustan,stade du fort carré,2022,6,10,2022,6,10,2022-6,0
prix roger borriglion,2022-06-11,2022-06-11,asf boules,clos borriglion,2022,6,11,2022,6,11,2022-6,0
pro b - playoffs accession 2021-2022,2022-06-11,2022-06-11,sharks d'antibes,azurarena antibes,2022,6,11,2022,6,11,2022-6,0
trust yourself contest,2022-06-11,2022-06-12,club des jeunes,zi des 3 moulins,2022,6,11,2022,6,12,2022-6,1
l'eau pour rayonner,2022-06-11,2022-06-11,autisme,stade nautique d'antibes,2022,6,11,2022,6,11,2022-6,0
challende belmas,2022-06-11,2022-06-12,rugby club sophia antipolis,stade gilbert auvergne,2022,6,11,2022,6,12,2022-6,1
open footvolley,2022-06-11,2022-06-11,association footvolley antibes,stade du fort carré,2022,6,11,2022,6,11,2022-6,0
tournoi de football reduit jeunes,2022-06-11,2022-06-11,as fontonne football,stade docteur léger,2022,6,11,2022,6,11,2022-6,0
répétition spectacle ecole de danse,2022-06-11,2022-06-18,association pro dance,salle saint claude,2022,6,11,2022,6,18,2022-6,7
sport- co challenge- tag rugby,2022-06-16,2022-06-16,riviera tag rugby,stade du fort carré,2022,6,16,2022,6,16,2022-6,0
tournée handivoile 06,2022-06-17,2022-06-17,département des alpes-maritimes,base nautique du ponteil,2022,6,17,2022,6,17,2022-6,0
nocturne n°1 de pétanque,2022-06-17,2022-06-17,asf boules,clos borriglion,2022,6,17,2022,6,17,2022-6,0
gala annuel de gym,2022-06-18,2022-06-18,oajlp gymnastique,salle pierre brochard,2022,6,18,2022,6,18,2022-6,0
répétition spectacle ecole de danse,2022-06-18,2022-06-18,association pro dance,salle foch,2022,6,18,2022,6,18,2022-6,0
traversée de l'espoir,2022-06-18,2022-06-18,le chemin de maëlline,base nautique du ponteil,2022,6,18,2022,6,18,2022-6,0
régional de tir,2022-06-18,2022-06-19,tir sportif d'antibes,stand de tir des 3 moulins,2022,6,18,2022,6,19,2022-6,1
azur contest,2022-06-19,2022-06-19,azur skate board,stade du fort carré,2022,6,19,2022,6,19,2022-6,0
rand cycliste sapaudia-monoikos,2022-06-20,2022-06-20,association la splaudia,antibes,2022,6,20,2022,6,20,2022-6,0
yoga au lever du soleil,2022-06-21,2022-06-21,institut français de yoga provence alpes côte d'azur,plage du ponteil,2022,6,21,2022,6,21,2022-6,0
2ème edition tournoi tennis ballon,2022-06-22,2022-06-22,jeunesse sportive de juan-les-pins,stade gilbert auvergne,2022,6,22,2022,6,22,2022-6,0
sport- co challenge- football,2022-06-23,2022-06-25,riviera tag rugby,stade du fort carré,2022,6,23,2022,6,25,2022-6,2
journée olympique,2022-06-24,2022-06-24,cdos 06,stade du fort carré,2022,6,24,2022,6,24,2022-6,0
nocturne n°2 de pétanque,2022-06-24,2022-06-24,asf boules,clos borriglion,2022,6,24,2022,6,24,2022-6,0
tournoi,2022-06-25,2022-06-26,football club d'antibes,stade du fort carré,2022,6,25,2022,6,26,2022-6,1
tournoi,2022-06-25,2022-06-26,oajlp volley-ball,stade du fort carré,2022,6,25,2022,6,26,2022-6,1
sport- co challenge- basket-ball,2022-06-30,2022-06-30,riviera tag rugby,salle foch,2022,6,30,2022,6,30,2022-6,0
nocturne n°3 de pétanque,2022-07-01,2022-07-01,asf boules,clos borriglion,2022,7,1,2022,7,1,2022-7,0
festival capoeira côte d'azur,2022-07-02,2022-07-02,arte brasil,stade foch,2022,7,2,2022,7,2,2022-7,0
selectif championnat fédéral nocturne,2022-07-02,2022-07-02,compagnie d'arc d'antibes,stand de tir des 3 moulins,2022,7,2,2022,7,2,2022-7,0
souvenir pierre angelini,2022-07-02,2022-07-02,les petanquiers du port d'antibes,stade du fort carré,2022,7,2,2022,7,2,2022-7,0
summer pop art skate,2022-07-02,2022-07-02,azur skate board,pré des pêcheurs,2022,7,2,2022,7,2,2022-7,0
pétanque la fontonne,2022-07-02,2022-07-02,association des commercants,place jean aude la fontonne,2022,7,2,2022,7,2,2022-7,0
souvenir michel debord,2022-07-03,2022-07-03,les petanquiers du port d'antibes,stade du fort carré,2022,7,3,2022,7,3,2022-7,0
coupe de france de beach volley,2022-07-03,2022-07-03,oajlp volley-ball,terrains de beach du fort carré,2022,7,3,2022,7,3,2022-7,0
prix des commerçants,2022-07-04,2022-07-04,les petanquiers du port d'antibes,stade du fort carré,2022,7,4,2022,7,4,2022-7,0
summer pop art biodanza,2022-07-05,2022-07-05,association bel hêtre,base nautique du ponteil,2022,7,5,2022,7,5,2022-7,0
summer pop art aquagym,2022-07-06,2022-07-06,cercle des nageurs d'antibes,ponteil,2022,7,6,2022,7,6,2022-7,0
summer pop art longe côte,2022-07-07,2022-07-07,wild move,plage de la salis,2022,7,7,2022,7,7,2022-7,0
summer pop art danse,2022-07-08,2022-07-08,studio danse 06,pré des pêcheurs,2022,7,8,2022,7,8,2022-7,0
nocturne n°4 de pétanque,2022-07-08,2022-07-08,asf boules,clos borriglion,2022,7,8,2022,7,8,2022-7,0
summer pop art ski nautique,2022-07-09,2022-07-09,belles rives ski nautique club,ponton du belles rives,2022,7,9,2022,7,9,2022-7,0
jeux de sophia - tir à l'arc,2022-07-09,2022-07-09,sophia club entreprises,stand de tir des 3 moulins,2022,7,9,2022,7,9,2022-7,0
summer pop art marche active,2022-07-11,2022-07-11,direction des sports de la ville d'antibes,place nationale,2022,7,11,2022,7,11,2022-7,0
summer pop art aquagym,2022-07-11,2022-07-11,direction des sports de la ville d'antibes,stade nautique d'antibes,2022,7,11,2022,7,11,2022-7,0
summer pop art stretching,2022-07-11,2022-07-11,direction des sports de la ville d'antibes,stade nautique d'antibes,2022,7,11,2022,7,11,2022-7,0
summer pop art biodanza,2022-07-12,2022-07-12,association bel hêtre,base nautique du ponteil,2022,7,12,2022,7,12,2022-7,0
summer pop art aquagym,2022-07-13,2022-07-13,cercle des nageurs d'antibes,ponteil,2022,7,13,2022,7,13,2022-7,0
summer pop art pilates,2022-07-13,2022-07-13,direction des sports de la ville d'antibes,stade nautique d'antibes,2022,7,13,2022,7,13,2022-7,0
summer pop art danse,2022-07-15,2022-07-15,studio danse 06,pré des pêcheurs,2022,7,15,2022,7,15,2022-7,0
nocturne n°5 de pétanque,2022-07-15,2022-07-15,asf boules,clos borriglion,2022,7,15,2022,7,15,2022-7,0
summer pop art tir à l'arc,2022-07-18,2022-07-18,direction des sports de la ville d'antibes,stade des semboules,2022,7,18,2022,7,18,2022-7,0
summer pop art stretching,2022-07-18,2022-07-18,direction des sports de la ville d'antibes,stade nautique d'antibes,2022,7,18,2022,7,18,2022-7,0
summer pop art biodanza,2022-07-19,2022-07-19,association bel hêtre,base nautique du ponteil,2022,7,19,2022,7,19,2022-7,0
summer pop art aquagym,2022-07-20,2022-07-20,direction des sports de la ville d'antibes,stade nautique d'antibes,2022,7,20,2022,7,20,2022-7,0
summer pop art circuit training,2022-07-20,2022-07-20,direction des sports de la ville d'antibes,stade nautique d'antibes,2022,7,20,2022,7,20,2022-7,0
summer pop art aquagym,2022-07-20,2022-07-20,cercle des nageurs d'antibes,ponteil,2022,7,20,2022,7,20,2022-7,0
summer pop art badminton,2022-07-22,2022-07-22,badminton club d'antibes,pré des pêcheurs,2022,7,22,2022,7,22,2022-7,0
nocturne n°6 de pétanque,2022-07-22,2022-07-22,asf boules,clos borriglion,2022,7,22,2022,7,22,2022-7,0
summer pop art ski nautique,2022-07-23,2022-07-23,belles rives ski nautique club,ponton du belles rives,2022,7,23,2022,7,23,2022-7,0
baptêmes de plongées,2022-07-24,2022-07-24,handisub 06,plage de la salis,2022,7,24,2022,7,24,2022-7,0
summer pop art longe côte,2022-07-25,2022-07-25,wild move,plage de la salis,2022,7,25,2022,7,25,2022-7,0
summer pop art stretching,2022-07-25,2022-07-25,direction des sports de la ville d'antibes,stade nautique d'antibes,2022,7,25,2022,7,25,2022-7,0
summer pop art biodanza,2022-07-26,2022-07-26,association bel hêtre,base nautique du ponteil,2022,7,26,2022,7,26,2022-7,0
summer pop art abdos fessiers,2022-07-27,2022-07-27,direction des sports de la ville d'antibes,stade nautique d'antibes,2022,7,27,2022,7,27,2022-7,0
summer pop art aquagym,2022-07-27,2022-07-27,cercle des nageurs d'antibes,ponteil,2022,7,27,2022,7,27,2022-7,0
summer pop art marche active,2022-07-27,2022-07-27,direction des sports de la ville d'antibes,place nationale,2022,7,27,2022,7,27,2022-7,0
nocturne n°7 de pétanque,2022-07-29,2022-07-29,asf boules,clos borriglion,2022,7,29,2022,7,29,2022-7,0
summer pop art danse,2022-07-29,2022-07-29,studio danse 06,pré des pêcheurs,2022,7,29,2022,7,29,2022-7,0
mondial footvolley,2022-07-30,2022-07-31,association footvolley antibes,pinède gould,2022,7,30,2022,7,31,2022-7,1
summer pop art tir à l'arc,2022-08-01,2022-08-01,direction des sports de la ville d'antibes,stade des semboules,2022,8,1,2022,8,1,2022-8,0
summer pop art stretching,2022-08-01,2022-08-01,direction des sports de la ville d'antibes,stade nautique d'antibes,2022,8,1,2022,8,1,2022-8,0
summer pop art biodanza,2022-08-02,2022-08-02,association bel hêtre,base nautique du ponteil,2022,8,2,2022,8,2,2022-8,0
summer pop art aquagym,2022-08-03,2022-08-03,cercle des nageurs d'antibes,ponteil,2022,8,3,2022,8,3,2022-8,0
summer pop art fitness run,2022-08-03,2022-08-03,direction des sports de la ville d'antibes,base nautique du ponteil,2022,8,3,2022,8,3,2022-8,0
summer pop art salsa batchata,2022-08-05,2022-08-05,somos latinos,place mariejol,2022,8,5,2022,8,5,2022-8,0
nocturne n°8 de pétanque,2022-08-05,2022-08-05,asf boules,clos borriglion,2022,8,5,2022,8,5,2022-8,0
summer pop art roller,2022-08-06,2022-08-07,roller skate club d'antibes,pré des pêcheurs,2022,8,6,2022,8,7,2022-8,1
summer pop art aquagym,2022-08-08,2022-08-08,direction des sports de la ville d'antibes,stade nautique d'antibes,2022,8,8,2022,8,8,2022-8,0
summer pop art biodanza,2022-08-09,2022-08-09,association bel hêtre,base nautique du ponteil,2022,8,9,2022,8,9,2022-8,0
summer pop art abdos fessiers,2022-08-10,2022-08-10,direction des sports de la ville d'antibes,base nautique du ponteil,2022,8,10,2022,8,10,2022-8,0
summer pop art aquagym,2022-08-10,2022-08-10,cercle des nageurs d'antibes,ponteil,2022,8,10,2022,8,10,2022-8,0
nocturne n°9 de pétanque,2022-08-12,2022-08-12,asf boules,clos borriglion,2022,8,12,2022,8,12,2022-8,0
summer pop art salsa batchata,2022-08-12,2022-08-12,somos latinos,place mariejol,2022,8,12,2022,8,12,2022-8,0
baptêmes de plongées,2022-08-14,2022-08-14,handisub 06,plage de la salis,2022,8,14,2022,8,14,2022-8,0
summer pop art circuit training,2022-08-16,2022-08-16,direction des sports de la ville d'antibes,stade nautique d'antibes,2022,8,16,2022,8,16,2022-8,0
summer pop art biodanza,2022-08-16,2022-08-16,association bel hêtre,base nautique du ponteil,2022,8,16,2022,8,16,2022-8,0
summer pop art renfo muscu,2022-08-17,2022-08-17,direction des sports de la ville d'antibes,stade nautique d'antibes,2022,8,17,2022,8,17,2022-8,0
summer pop art aquagym,2022-08-17,2022-08-17,cercle des nageurs d'antibes,ponteil,2022,8,17,2022,8,17,2022-8,0
summer pop art salsa batchata,2022-08-19,2022-08-19,somos latinos,place mariejol,2022,8,19,2022,8,19,2022-8,0
nocturne n°10 de pétanque,2022-08-19,2022-08-19,asf boules,clos borriglion,2022,8,19,2022,8,19,2022-8,0
summer pop art danse,2022-08-19,2022-08-19,studio danse 06,pré des pêcheurs,2022,8,19,2022,8,19,2022-8,0
summer pop art aquagym,2022-08-22,2022-08-22,direction des sports de la ville d'antibes,stade nautique d'antibes,2022,8,22,2022,8,22,2022-8,0
challenge marc grilli,2022-08-22,2022-08-22,belles rives ski nautique club,ponton du belles rives,2022,8,22,2022,8,22,2022-8,0
summer pop art biodanza,2022-08-23,2022-08-23,association bel hêtre,base nautique du ponteil,2022,8,23,2022,8,23,2022-8,0
summer pop art marche active,2022-08-24,2022-08-24,direction des sports de la ville d'antibes,place nationale,2022,8,24,2022,8,24,2022-8,0
summer pop art aquagym,2022-08-24,2022-08-24,cercle des nageurs d'antibes,ponteil,2022,8,24,2022,8,24,2022-8,0
baptêmes de plongées,2022-08-24,2022-08-24,handisub 06,plage de la salis,2022,8,24,2022,8,24,2022-8,0
summer pop art danse,2022-08-26,2022-08-26,studio danse 06,pré des pêcheurs,2022,8,26,2022,8,26,2022-8,0
summer pop art badminton,2022-08-26,2022-08-26,badminton club d'antibes,pré des pêcheurs,2022,8,26,2022,8,26,2022-8,0
summer pop art salsa batchata,2022-08-26,2022-08-26,somos latinos,place mariejol,2022,8,26,2022,8,26,2022-8,0
nocturne n°11 de pétanque,2022-08-26,2022-08-26,asf boules,clos borriglion,2022,8,26,2022,8,26,2022-8,0
traversée cors'ar,2022-08-26,2022-09-06,arch-event,mer antibes calvi antibes,2022,8,26,2022,9,6,2022-8,11
grand prix des verriers,2022-08-27,2022-08-27,velo sprint biotois,biot,2022,8,27,2022,8,27,2022-8,0
summer pop art skate,2022-08-28,2022-08-28,azur skate board,pré des pêcheurs,2022,8,28,2022,8,28,2022-8,0
tournoi jeunes,2022-08-28,2022-08-28,tennis club d'antibes,tennis jules grec,2022,8,28,2022,8,28,2022-8,0
nocturne n°12 de pétanque,2022-09-02,2022-09-02,asf boules,clos borriglion,2022,9,2,2022,9,2,2022-9,0
souvenir maéva podair,2022-09-03,2022-09-03,les amis de la pinède,pinède gould,2022,9,3,2022,9,3,2022-9,0
fête de la jeunesse et des sports,2022-09-04,2022-09-04,direction des sports de la ville d'antibes,stade du fort carré,2022,9,4,2022,9,4,2022-9,0
régate vrc rg 65,2022-09-04,2022-09-04,société des régates d'antibes,base nautique du ponteil,2022,9,4,2022,9,4,2022-9,0
tournoi itf de tennis,2022-09-04,2022-09-10,tennis club d'antibes,tennis jules grec,2022,9,4,2022,9,10,2022-9,6
tournoi de pré-saison u12-u13,2022-09-10,2022-09-10,as fontonne football,stade docteur léger,2022,9,10,2022,9,10,2022-9,0
concours de pétanque,2022-09-11,2022-09-11,les amis de la pinède,petite pinède,2022,9,11,2022,9,11,2022-9,0
"challenge ""les rod's d'antibes""",2022-09-11,2022-09-11,sport santé,base nautique du ponteil,2022,9,11,2022,9,11,2022-9,0
tournoi de pré-saison u10 et u11,2022-09-17,2022-09-17,as fontonne football,stade docteur léger,2022,9,17,2022,9,17,2022-9,0
riviera tag rugby festival 2022,2022-09-17,2022-09-17,riviera tag rugby,stade gilbert auvergne,2022,9,17,2022,9,17,2022-9,0
tournoi international de hockey,2022-09-17,2022-09-18,asf hockey sur gazon,terrains de la fontonne,2022,9,17,2022,9,18,2022-9,1
nat voiliers radio-commandés,2022-09-23,2022-09-25,société des régates d'antibes,base nautique du ponteil,2022,9,23,2022,9,25,2022-9,2
tournoi beach rugby,2022-09-24,2022-09-24,esprit passion ovale skéma business school,plage du pont du lys,2022,9,24,2022,9,24,2022-9,0
1ère manche du championnat de france de footvolley,2022-09-24,2022-09-25,association footvolley antibes,terrains de beach du fort carré,2022,9,24,2022,9,25,2022-9,1
urban trail de la casa 20 ans,2022-09-25,2022-09-25,casa,azurarena antibes,2022,9,25,2022,9,25,2022-9,0
souvenir michel rolando,2022-09-27,2022-09-27,les amis de la pinède,petite pinède,2022,9,27,2022,9,27,2022-9,0
compétition tennis de table,2022-10-08,2022-10-09,oajlp tennis de table,azurarena antibes,2022,10,8,2022,10,9,2022-10,1
2ème journée du championnat de pro b 2022-2023,2022-10-14,2022-10-14,sharks d'antibes,azurarena antibes,2022,10,14,2022,10,14,2022-10,0
tournoi de pétanque,2022-10-15,2022-10-15,asf boules,clos borriglion,2022,10,15,2022,10,15,2022-10,0
43ème edition de courir pour une fleur,2022-10-15,2022-10-16,direction des sports de la ville d'antibes,stade du fort carré,2022,10,15,2022,10,16,2022-10,1
assa bloc 2022,2022-10-16,2022-10-16,assa escalade,salle paul charpin,2022,10,16,2022,10,16,2022-10,0
cross du cœur,2022-10-20,2022-10-20,collège sidney bechet,parc exflora,2022,10,20,2022,10,20,2022-10,0
triathlon des roses,2022-10-23,2022-10-23,antibes triathlon,base nautique du ponteil,2022,10,23,2022,10,23,2022-10,0
tournoi open jacques grima,2022-10-26,2022-11-26,tennis club d'antibes,tennis jules grec,2022,10,26,2022,11,26,2022-10,31
marathon nice - cannes,2022-10-30,2022-10-30,azur sport organisation,antibes,2022,10,30,2022,10,30,2022-10,0
6ème cyclo-cross des semboules,2022-10-30,2022-10-30,olympique cyclo club d'antibes,stade des semboules,2022,10,30,2022,10,30,2022-10,0
journée bouliste,2022-11-01,2022-11-01,asf boules et ab des eucalyptus,clos borriglion,2022,11,1,2022,11,1,2022-11,0
4ème journée du championnat de pro b 2022-2023,2022-11-04,2022-11-04,sharks d'antibes,azurarena antibes,2022,11,4,2022,11,4,2022-11,0
tournoi de pétanque,2022-11-05,2022-11-05,asf boules,clos borriglion,2022,11,5,2022,11,5,2022-11,0
compétition tennis de table,2022-11-05,2022-11-06,oajlp tennis de table,azurarena antibes,2022,11,5,2022,11,6,2022-11,1
cross du poilu,2022-11-10,2022-11-10,direction des sports de la ville d'antibes,stade du fort carré,2022,11,10,2022,11,10,2022-11,0
challenge belmas,2022-11-11,2022-11-12,rugby club sophia antipolis,stade gilbert auvergne,2022,11,11,2022,11,12,2022-11,1
rassemblement emile allo,2022-11-13,2022-11-13,olympique cyclo club d'antibes,square albert 1er,2022,11,13,2022,11,13,2022-11,0
cross du fort carré,2022-11-19,2022-11-19,eraa,stade du fort carré,2022,11,19,2022,11,19,2022-11,0
30ème trophée hoang nam,2022-11-19,2022-11-20,ecole hoang nam,salle aaa,2022,11,19,2022,11,20,2022-11,1
6ème journée du championnat de pro b 2022-2023,2022-11-25,2022-11-25,sharks d'antibes,azurarena antibes,2022,11,25,2022,11,25,2022-11,0
8ème journée du championnat de pro b 2022-2023,2022-12-02,2022-12-02,sharks d'antibes,azurarena antibes,2022,12,2,2022,12,2,2022-12,0
régate vrc rg 65,2022-12-04,2022-12-04,société des régates d'antibes,base nautique du ponteil,2022,12,4,2022,12,4,2022-12,0
compétition tennis de table,2022-12-10,2022-12-11,oajlp tennis de table,azurarena antibes,2022,12,10,2022,12,11,2022-12,1
triathlon de la st sylvestre,2022-12-11,2022-12-11,antibes triathlon,pinède gould,2022,12,11,2022,12,11,2022-12,0
challenge lesage,2022-12-11,2022-12-11,compagnie d'arc d'antibes,stand de tir des 3 moulins,2022,12,11,2022,12,11,2022-12,0
tournoi orange 7/10 ans,2022-12-11,2022-12-11,tennis club d'antibes,tennis jules grec,2022,12,11,2022,12,11,2022-12,0
tournoi orange 7/10 ans,2022-12-18,2022-12-18,tennis club d'antibes,tennis jules grec,2022,12,18,2022,12,18,2022-12,0
11ème journée du championnat de pro b 2022-2023,2022-12-20,2022-12-20,sharks d'antibes,azurarena antibes,2022,12,20,2022,12,20,2022-12,0
12ème journée du championnat de pro b 2022-2023,2022-12-23,2022-12-23,sharks d'antibes,azurarena antibes,2022,12,23,2022,12,23,2022-12,0
bain du jour de l'an,2023-01-01,2023-01-01,day one,plage de la salis,2023,1,1,2023,1,1,2023-1,0
régate de ligue 420,2023-01-07,2023-01-08,sra,base nautique du ponteil,2023,1,7,2023,1,8,2023-1,1
championnat départemental de gym,2023-01-14,2023-01-14,oajlp gymnastique,salle pierre brochard,2023,1,14,2023,1,14,2023-1,0
championnat par équipes d'échec départ et national,2023-01-15,2023-01-15,le séchiquiers antibois,base nautique du ponteil,2023,1,15,2023,1,15,2023-1,0
journée des pmm,2023-01-21,2023-01-21,direction des sports de la ville d'antibes,stade du fort carré,2023,1,21,2023,1,21,2023-1,0
remise des prix,2023-01-21,2023-01-21,appa,club port vauban,2023,1,21,2023,1,21,2023-1,0
le calvaire trail longe côte,2023-01-29,2023-01-29,wild move,plage de la salis,2023,1,29,2023,1,29,2023-1,0
souvenir albert triton,2023-01-29,2023-01-29,antibes vélo passion,parking du ponteil,2023,1,29,2023,1,29,2023-1,0
championnat départemental par équipe de gym,2023-02-04,2023-02-04,oajlp gymnastique,salle pierre brochard,2023,2,4,2023,2,4,2023-2,0
reception presentation club,2023-02-08,2023-02-08,société des régates d'antibes,base nautique du ponteil,2023,2,8,2023,2,8,2023-2,0
concours de boules,2023-02-12,2023-02-12,asf boules,clos borriglion,2023,2,12,2023,2,12,2023-2,0
2ème etape tour des am et var,2023-02-18,2023-02-18,nice matin,azurarena antibes,2023,2,18,2023,2,18,2023-2,0
concours de boules,2023-02-18,2023-02-18,asf boules,clos borriglion,2023,2,18,2023,2,18,2023-2,0
top 12 de gym,2023-02-25,2023-02-25,oajlp gymnastique,salle pierre brochard,2023,2,25,2023,2,25,2023-2,0
souvenir josé garido,2023-02-25,2023-02-25,les amis de la pinède,petite et grande pinède,2023,2,25,2023,2,25,2023-2,0
rassemblement cycliste,2023-02-26,2023-02-26,vélo club antibois,parvis de la chapelle de la garoupe,2023,2,26,2023,2,26,2023-2,0
prepa fra handball fauteuil euro,2023-03-04,2023-03-04,handisport antibes méditerranée,salle saint claude,2023,3,4,2023,3,4,2023-3,0
souvenir maeva podair,2023-03-04,2023-03-04,les amis de la pinède,clos de la pinède,2023,3,4,2023,3,4,2023-3,0
hand ensemble,2023-03-09,2023-03-09,oajlp handball,salle saint claude,2023,3,9,2023,3,9,2023-3,0
tournoi que du bad,2023-03-11,2023-03-12,badminton club d'antibes,gymnase de la fontonne,2023,3,11,2023,3,12,2023-3,1
25 ème grand prix de la ville d'antibes,2023-03-12,2023-03-12,judo club d'antibes,salle aaa,2023,3,12,2023,3,12,2023-3,0
championnat par équipes d'échec départ et national,2023-03-12,2023-03-12,le séchiquiers antibois,base nautique du ponteil,2023,3,12,2023,3,12,2023-3,0
regate ligue optimists,2023-03-12,2023-03-12,sra,base nautique du ponteil,2023,3,12,2023,3,12,2023-3,0
challenge chardonneau,2023-03-18,2023-03-18,école d'escrime d'antibes,salle saint claude,2023,3,18,2023,3,18,2023-3,0
nuit du hand,2023-03-18,2023-03-18,oajlp handball,salle saint claude,2023,3,18,2023,3,18,2023-3,0
championnats de france de tennis de table,2023-03-24,2023-03-26,oajlp tennis de table,salle aaa,2023,3,24,2023,3,26,2023-3,2
tournoi de basket 3x3,2023-03-24,2023-03-26,sharks d'antibes,stade du fort carré,2023,3,24,2023,3,26,2023-3,2
regate optimiste 420,2023-03-25,2023-03-26,sra,port gallice,2023,3,25,2023,3,26,2023-3,1
7ème calvaire antibois,2023-03-26,2023-03-26,asoa section run & tri,base nautique du ponteil,2023,3,26,2023,3,26,2023-3,0
concours en mer de chien de sauvetage,2023-04-01,2023-04-02,assoc terre neuve 06,plage de la salis,2023,4,1,2023,4,2,2023-4,1
tournoi open senior,2023-04-08,2023-04-21,tennis club d'antibes,tennis jules grec,2023,4,8,2023,4,21,2023-4,13
challenge alain cinquin,2023-04-08,2023-04-10,asf antibes hockey,stade docteur léger,2023,4,8,2023,4,10,2023-4,2
champ de france voiture radio co,2023-04-08,2023-04-09,mini racing club antibes,super antibes,2023,4,8,2023,4,9,2023-4,1
