animations,date_debut,date_fin,organisateur,lieu_1,yd,md,dd,yf,mf,df,yearmonth,duration
27ème trophée hoang nam,2019-06-16,2019-06-16,ecole hoang nam,salle saint claude,2019,6,16,2019,6,16,2019-6,0
tournoi ascha,2019-06-16,2019-06-16,asc hospitaliers d'antibes,stade docteur léger,2019,6,16,2019,6,16,2019-6,0
tournoi jeunes u8,2019-06-16,2019-06-16,as fontonne football,stade docteur léger,2019,6,16,2019,6,16,2019-6,0
olympiade des 4ème,2019-06-17,2019-06-17,collège roustan,plateau foch,2019,6,17,2019,6,17,2019-6,0
yoga au lever du soleil,2019-06-21,2019-06-21,institut français de yoga provence alpes côte d'azur,plage de la salis,2019,6,21,2019,6,21,2019-6,0
festival de capoeira de la côte d'azur,2019-06-21,2019-06-22,arte brasil,stade foch,2019,6,21,2019,6,22,2019-6,1
l'eau pour rayonner,2019-06-22,2019-06-22,direction des sports de la ville d'antibes,stade nautique d'antibes,2019,6,22,2019,6,22,2019-6,0
répétition gala de fin d'année,2019-06-23,2019-06-23,antibes jazz,salle saint claude,2019,6,23,2019,6,23,2019-6,0
challenge gb,2019-06-23,2019-06-23,assoc sportive safami monroe,terrains de la fontonne,2019,6,23,2019,6,23,2019-6,0
tournée handivoile 06,2019-06-28,2019-06-29,département des alpes-maritimes,ponteil,2019,6,28,2019,6,29,2019-6,1
tournée handisub 06,2019-06-29,2019-06-30,comité dep d'étude et sport sous-marin,ponteil,2019,6,29,2019,6,30,2019-6,1
tournoi inter de badminton,2019-06-29,2019-06-30,badminton club d'antibes,salle saint claude,2019,6,29,2019,6,30,2019-6,1
répétition gala de fin d'année,2019-06-30,2019-06-30,antibes jazz,salle salusse santoni,2019,6,30,2019,6,30,2019-6,0
réception des sportifs,2019-07-03,2019-07-03,direction des sports de la ville d'antibes,azurarena antibes,2019,7,3,2019,7,3,2019-7,0
mondial footvolley,2019-07-05,2019-07-07,association footvolley antibes,pinède gould,2019,7,5,2019,7,7,2019-7,2
championnat tae 50m,2019-07-06,2019-07-06,compagnie d'arc d'antibes,zi des 3 moulins,2019,7,6,2019,7,6,2019-7,0
baptême des pieds lourds,2019-07-06,2019-07-06,antibes subaquatique azur,stade du fort carré,2019,7,6,2019,7,6,2019-7,0
