coll_nom,coll_siret,jour,annee 2020,annee 2021,annee 2022,annee 2023,annee 2024
Antibes,21060004500012,27-juil.,25.9,25.5,28.4,22.5,
Antibes,21060004500012,28-juil.,26.5,25.9,28.6,24.2,
Antibes,21060004500012,29-juil.,27.1,25.7,28.2,,28.6
Antibes,21060004500012,30-juil.,26.8,26.2,,,
Antibes,21060004500012,31-juil.,27.5,,,25.8,28.9
Antibes,21060004500012,1-août,,,27.5,26.2,29.3
Antibes,21060004500012,2-août,,24.3,28,26,29.1
Antibes,21060004500012,3-août,27.6,24,27.2,25.3,
Antibes,21060004500012,4-août,26.2,22.2,27.9,24.1,
Antibes,21060004500012,5-août,25.8,22.3,28.1,,28.3
Antibes,21060004500012,6-août,26,22.8,,,29.1
Antibes,21060004500012,7-août,26.3,,,22.1,29.4
Antibes,21060004500012,8-août,,,26.7,22.9,29.4
Antibes,21060004500012,9-août,,22.9,27,23.4,29.4
Antibes,21060004500012,10-août,27.1,25.5,27.1,23.7,
Antibes,21060004500012,11-août,,25,26.8,23.9,
Antibes,21060004500012,12-août,27.1,25.5,26.9,,30.2
Antibes,21060004500012,13-août,26.5,,,,30.4
Antibes,21060004500012,14-août,26.8,26.5,,,29.9
Antibes,21060004500012,15-août,,26.3,,,28.2
Antibes,21060004500012,16-août,,26.7,27.5,25.2,
Antibes,21060004500012,17-août,27.3,26.3,26.9,25.6,
Antibes,21060004500012,18-août,27,27.3,25.2,25.2,
Antibes,21060004500012,19-août,26.1,25.5,26,,28.5
Antibes,21060004500012,20-août,26.5,25.9,,,28.3
Antibes,21060004500012,21-août,26.8,,,26.4,28.5
Antibes,21060004500012,22-août,,,26.4,26.9,28.2
Antibes,21060004500012,23-août,,26.6,26.4,27.4,28.3
Antibes,21060004500012,24-août,26.5,26.4,26.6,27.3,
Antibes,21060004500012,25-août,27.2,25,26.9,27.7,
Antibes,21060004500012,26-août,27,25.2,27.1,,28.2
Antibes,21060004500012,27-août,26.7,25.5,,,28.7
Antibes,21060004500012,28-août,27.2,,,24.5,27.9
Antibes,21060004500012,29-août,,,26.5,23,28.6
Antibes,21060004500012,30-août,,24.7,27.3,22.8,27.7
Antibes,21060004500012,31-août,19.2,24.3,26.5,23.3,
Antibes,21060004500012,1-sept.,21.9,24.3,26.3,23.8,
Antibes,21060004500012,2-sept.,22.7,23.9,26.2,,28
Antibes,21060004500012,3-sept.,22.6,23.9,,,27.8
Antibes,21060004500012,4-sept.,23.8,,,24.1,26.4
Antibes,21060004500012,5-sept.,,,25,24.5,25.5
Antibes,21060004500012,6-sept.,,24,25.8,24.4,27.3
Antibes,21060004500012,7-sept.,24.3,24,26,24.7,25.6
Antibes,21060004500012,8-sept.,24.5,24.3,26,24.7,25.8
Antibes,21060004500012,9-sept.,24.5,23.9,25.8,,25.3
Antibes,21060004500012,10-sept.,22,23.6,,,
Antibes,21060004500012,11-sept.,23.9,,,24.5,
Antibes,21060004500012,12-sept.,,,24,24.5,24.3
Antibes,21060004500012,13-sept.,,23.9,24.9,24.6,24
Antibes,21060004500012,14-sept.,24.1,24.4,24.8,23.4,
Antibes,21060004500012,15-sept.,25.2,24.3,25.2,23.8,
Antibes,21060004500012,16-sept.,25.1,24,,,24.8
Antibes,21060004500012,17-sept.,24.6,23.6,,,23.6
Antibes,21060004500012,18-sept.,25,,,23.7,23.4
Antibes,21060004500012,19-sept.,,,23.4,23.5,23.7
Antibes,21060004500012,20-sept.,,22.2,23.9,23.4,24
Antibes,21060004500012,21-sept.,23.9,22.3,22.4,23.5,
Antibes,21060004500012,22-sept.,24.1,22.4,23.3,22.8,
Antibes,21060004500012,23-sept.,23.4,22.5,23.5,,23.2
Antibes,21060004500012,24-sept.,23.2,22.8,,,21.3
Antibes,21060004500012,25-sept.,,,,19.9,21.8
Antibes,21060004500012,26-sept.,,,22.4,21,21.4
Antibes,21060004500012,27-sept.,,22.7,21.4,21.2,22.4
Antibes,21060004500012,28-sept.,17.5,23.1,20.2,22,
Antibes,21060004500012,29-sept.,20,22.5,20.6,22.5,
Antibes,21060004500012,30-sept.,20.7,23,19.9,,21.5
Antibes,21060004500012,1-oct.,,22.6,,,
Antibes,21060004500012,2-oct.,,,,,
Antibes,21060004500012,3-oct.,,,,,
Antibes,21060004500012,4-oct.,,,,22.9,
Antibes,21060004500012,5-oct.,17.6,,21.5,,
Antibes,21060004500012,6-oct.,,20.6,,,
Antibes,21060004500012,7-oct.,,,,,
Antibes,21060004500012,8-oct.,,,,,
Antibes,21060004500012,9-oct.,,,,,
Antibes,21060004500012,10-oct.,,,21.1,,20.8
Antibes,21060004500012,11-oct.,,,,23,
Antibes,21060004500012,12-oct.,20.1,,,,
Antibes,21060004500012,13-oct.,,,,,
Antibes,21060004500012,14-oct.,,,,,
Antibes,21060004500012,15-oct.,,,,,20.7
Antibes,21060004500012,16-oct.,,,,,
Antibes,21060004500012,17-oct.,,,,21.3,
Antibes,21060004500012,18-oct.,,,,,
Antibes,21060004500012,19-oct.,,,21.2,,
Antibes,21060004500012,20-oct.,,,,,
Antibes,21060004500012,21-oct.,18.3,19.2,,,
Antibes,21060004500012,22-oct.,,,,,20.3
Antibes,21060004500012,23-oct.,,,,,
Antibes,21060004500012,24-oct.,,,,,
Antibes,21060004500012,25-oct.,,,,19.5,
Antibes,21060004500012,26-oct.,,,20.8,,
Antibes,21060004500012,27-oct.,,,,,
Antibes,21060004500012,28-oct.,,19,,,
Antibes,21060004500012,29-oct.,,,,,20.5
Antibes,21060004500012,30-oct.,,,,,
Antibes,21060004500012,31-oct.,,,,,
Antibes,21060004500012,1-nov.,,,,,
Antibes,21060004500012,2-nov.,,,20.4,,
Antibes,21060004500012,3-nov.,,17.6,,,
Antibes,21060004500012,4-nov.,18.9,,,,
Antibes,21060004500012,5-nov.,,,,,20.1
Antibes,21060004500012,6-nov.,,,,,
Antibes,21060004500012,7-nov.,,,,,
Antibes,21060004500012,8-nov.,,,,15.9,
Antibes,21060004500012,9-nov.,,17.6,19.4,,
Antibes,21060004500012,10-nov.,,,,,
Antibes,21060004500012,11-nov.,,,,,
Antibes,21060004500012,12-nov.,17.5,,,,19.2
Antibes,21060004500012,13-nov.,,,,,
Antibes,21060004500012,14-nov.,,,,,
Antibes,21060004500012,15-nov.,,,,17.4,
Antibes,21060004500012,16-nov.,,,18.8,,
Antibes,21060004500012,17-nov.,,17.1,,,
Antibes,21060004500012,18-nov.,16.8,,,,
Antibes,21060004500012,19-nov.,,,,,17.7
Antibes,21060004500012,20-nov.,,,,,
Antibes,21060004500012,21-nov.,,,,,
Antibes,21060004500012,22-nov.,,,,17,
Antibes,21060004500012,23-nov.,,,,,
Antibes,21060004500012,24-nov.,,16.4,18,,
Antibes,21060004500012,25-nov.,,,,,
Antibes,21060004500012,26-nov.,,,,,16.4
Antibes,21060004500012,27-nov.,,,,,
Antibes,21060004500012,28-nov.,,,,,
Antibes,21060004500012,29-nov.,,,,14.8,
Antibes,21060004500012,30-nov.,,,16.7,,
Antibes,21060004500012,1-déc.,,15.4,,,
Antibes,21060004500012,2-déc.,14.4,,,,
Antibes,21060004500012,3-dec,,,,,16.7
Antibes,21060004500012,4-déc.,14.6,,,,
Antibes,21060004500012,5-dec,,,,,
Antibes,21060004500012,6-dec,,,,14.4,
Antibes,21060004500012,7-déc.,,,15.8,,
Antibes,21060004500012,8-déc.,,15.4,,,
Antibes,21060004500012,9-dec,,,,,
Antibes,21060004500012,10-dec,,,,,
Antibes,21060004500012,11-dec,,,,,
Antibes,21060004500012,12-dec,,,,,
Antibes,21060004500012,13-dec,,,,14.9,
Antibes,21060004500012,14-déc.,,,15.8,,
Antibes,21060004500012,15-déc.,,14.9,,,
Antibes,21060004500012,16-déc.,14.7,,,,
Antibes,21060004500012,17-dec,,,,,
Antibes,21060004500012,18-dec,,,,,
Antibes,21060004500012,19-dec,,,,,15.4
Antibes,21060004500012,20-déc.,,,16,14.6,
Antibes,21060004500012,21-dec,,,,,
Antibes,21060004500012,22-déc.,,14.4,,,
Antibes,21060004500012,23-déc.,14.8,,,,
Antibes,21060004500012,24-dec,,,,,
Antibes,21060004500012,25-dec,,,,,
Antibes,21060004500012,26-dec,,,,,14.2
Antibes,21060004500012,27-dec,,,,14.9,
Antibes,21060004500012,28-déc.,,,15.5,,
Antibes,21060004500012,29-déc.,,14,,,
Antibes,21060004500012,30-dec,,,,,14.2
Antibes,21060004500012,31-dec,,,,,
